NAME,LONGITUDE,LATITUDE,POPULATION,AREA
AFRO:ANGOLA:UIGE:QUITEXE,14.9071,-8.0846,18780,3170.1
AFRO:ANGOLA:UIGE:SANZA_POMBO,16.0542,-7.2554,37738,4840.2
AFRO:ANGOLA:UIGE:SONGO,14.7967,-7.1696,44141,2812.0
AFRO:ANGOLA:UIGE:UIGE,15.0776,-7.6053,266262,1194.1
AFRO:ANGOLA:ZAIRE:CUIMBA,14.6698,-6.2175,78878,3561.7
AFRO:ANGOLA:ZAIRE:MBANZA_CONGO,14.176,-6.3233,222421,6352.3
AFRO:ANGOLA:ZAIRE:NOQUI,13.5609,-6.1578,27838,4680.3
AFRO:ANGOLA:ZAIRE:NZETO,13.4012,-7.3536,55256,8630.5
AFRO:ANGOLA:ZAIRE:SOYO,12.7985,-6.2611,268026,5687.8
AFRO:ANGOLA:ZAIRE:TOMBOCO,13.3498,-6.7256,54577,8398.6
AFRO:BENIN:ALIBORI:BANIKOARA,2.3992,11.3443,311345,4495.0
AFRO:BENIN:ALIBORI:GOGOUNOU,2.7005,10.769,140711,5050.4
AFRO:BENIN:ALIBORI:KANDI,2.9677,11.2114,243730,3470.2
AFRO:BENIN:ALIBORI:KARMAMA,2.7459,11.9499,97872,6157.6
AFRO:BENIN:ALIBORI:MALANVILLE,3.2635,11.6578,210897,3289.6
AFRO:BENIN:ALIBORI:SEGBANA,3.4698,10.9343,121660,4708.0
AFRO:BENIN:ATACORA:BOUKOMBE,1.1345,10.2517,75848,967.1
AFRO:BENIN:ATACORA:COBLY,0.9041,10.472,68380,834.4
AFRO:BENIN:ATACORA:KEROU,2.0036,10.9308,121998,3801.6
AFRO:BENIN:ATACORA:KOUANDE,1.721,10.4249,138882,3282.7
AFRO:BENIN:ATACORA:MATERI,1.0311,10.799,134199,1790.9
AFRO:BENIN:ATACORA:NATITINGOU,1.4056,10.2426,115931,1351.6
AFRO:BENIN:ATACORA:PEHUNCO,2.0331,10.2568,90301,2014.3
AFRO:BENIN:ATACORA:TANGUIETA,1.4387,11.0266,98459,5521.4
AFRO:BENIN:ATACORA:TOUCOUNTOUNA,1.4642,10.525,114088,1081.7
AFRO:BENIN:ATLANTIQUE:ABOMEY_CALAVI,2.3206,6.4948,957037,558.4
AFRO:BENIN:ATLANTIQUE:ALLADA,2.1194,6.6782,139523,385.0
AFRO:BENIN:ATLANTIQUE:KPOMASSE,2.0142,6.4525,76183,281.9
AFRO:BENIN:ATLANTIQUE:OUIDAH,2.1249,6.3684,260661,391.4
AFRO:BENIN:ATLANTIQUE:SO_AVA,2.4319,6.4851,81214,184.5
AFRO:BENIN:ATLANTIQUE:TOFFO,2.1783,6.8524,59646,488.2
AFRO:BENIN:ATLANTIQUE:TORI_BOSSITO,2.1481,6.5395,45954,325.2
AFRO:BENIN:ATLANTIQUE:ZE,2.3222,6.756,120114,639.8
AFRO:BENIN:BORGOU:BEMBEREKE,2.7503,10.2721,152681,3347.7
AFRO:BENIN:BORGOU:KALALE,3.3985,10.3647,223037,3846.0
AFRO:BENIN:BORGOU:NDALI,2.4689,9.7236,146719,3695.8
AFRO:BENIN:BORGOU:NIKKI,3.2006,9.9433,186471,3430.4
AFRO:BENIN:BORGOU:PARAKOU,2.6048,9.3456,321882,475.1
AFRO:BENIN:BORGOU:PERERE,2.988,9.589,98213,2098.2
AFRO:BENIN:BORGOU:SINENDE,2.3466,10.2454,110428,2278.3
AFRO:BENIN:BORGOU:TCHAOUROU,2.4996,9.1618,322684,6856.3
AFRO:BENIN:COLLINES:BANTE,1.8656,8.3387,117834,2682.2
AFRO:BENIN:COLLINES:DASSA_ZOUNME,2.2707,7.6969,114932,1695.9
AFRO:BENIN:COLLINES:GLAZOUE,2.2299,8.1774,139084,1765.7
AFRO:BENIN:COLLINES:OUESSE,2.4872,8.5236,163438,2995.7
AFRO:BENIN:COLLINES:SAVALOU,1.8638,7.8721,165646,2694.5
AFRO:BENIN:COLLINES:SAVE,2.5708,7.9939,93686,2342.2
AFRO:BENIN:COUFFO:APLAHOUE,1.6952,7.1611,177541,864.1
AFRO:BENIN:COUFFO:DJAKOTOME,1.6902,6.8655,148189,216.4
AFRO:BENIN:COUFFO:DOGBO,1.7459,6.78,123851,301.3
AFRO:BENIN:COUFFO:KLOUEKANME,1.8291,7.0418,126977,390.0
AFRO:BENIN:COUFFO:LALO,1.9682,6.8668,150642,457.9
AFRO:BENIN:COUFFO:TOVIKLIN,1.8135,6.8958,101156,129.6
AFRO:BENIN:DONGA:BASSILA,1.8607,8.9638,182325,5693.8
AFRO:BENIN:DONGA:COPARGO,1.5427,9.8715,79887,895.9
AFRO:BENIN:DONGA:DJOUGOU,1.8527,9.6744,299335,3906.1
AFRO:BENIN:DONGA:OUAKE,1.4392,9.5856,96256,672.6
AFRO:BENIN:LITTORAL:COTONOU,2.4158,6.3651,723034,90.1
AFRO:BENIN:MONO:ATHIEME,1.6988,6.5802,59908,223.7
AFRO:BENIN:MONO:BOPA,1.9288,6.6661,101385,365.9
AFRO:BENIN:MONO:COME,1.9022,6.4268,83380,171.2
AFRO:BENIN:MONO:GRAND_POPO,1.8319,6.3261,82266,361.2
AFRO:BENIN:MONO:HOUEYOGBE,1.8462,6.5488,117718,305.2
AFRO:BENIN:MONO:LOKOSSA,1.7378,6.6908,126367,285.3
AFRO:BENIN:OUEME:ADJARRA,2.6809,6.4859,133455,69.0
AFRO:BENIN:OUEME:ADJOHOUN,2.4962,6.709,82597,314.1
AFRO:BENIN:OUEME:AGUEGUES,2.5255,6.4666,47146,128.6
AFRO:BENIN:OUEME:AKPRO_MISSERETE,2.5889,6.5731,102703,78.5
AFRO:BENIN:OUEME:AVRANKOU,2.6474,6.5666,114240,77.6
AFRO:BENIN:OUEME:BONOU,2.4791,6.8708,43548,251.7
AFRO:BENIN:OUEME:DANGBO,2.4982,6.5805,104740,156.6
AFRO:BENIN:OUEME:PORTO_NOVO,2.6191,6.4828,293517,50.5
AFRO:BENIN:OUEME:SEME_KPODJI,2.5997,6.3957,432333,252.5
AFRO:BENIN:PLATEAU:ADJA_OUERE,2.5938,6.9958,140141,462.6
AFRO:BENIN:PLATEAU:IFANGNI,2.7163,6.6305,138662,231.8
AFRO:BENIN:PLATEAU:KETOU,2.604,7.4404,179518,1794.3
AFRO:BENIN:PLATEAU:POBE,2.6897,7.091,129119,405.2
AFRO:BENIN:PLATEAU:SAKETE,2.6585,6.7778,135426,458.0
AFRO:BENIN:ZOU:ABOMEY,1.9696,7.1876,75956,144.8
AFRO:BENIN:ZOU:AGBANGNIZOUN,1.9569,7.0913,88687,226.4
AFRO:BENIN:ZOU:BOHICON,2.1002,7.1774,212760,165.8
AFRO:BENIN:ZOU:COVE,2.2811,7.3346,55357,441.2
AFRO:BENIN:ZOU:DJIDJA,1.9228,7.4376,144767,2195.0
AFRO:BENIN:ZOU:OUINHI,2.4737,7.066,77530,332.7
AFRO:BENIN:ZOU:ZAGNANADO,2.3926,7.2775,78129,580.6
