NAME,LONGITUDE,LATITUDE,POPULATION,AREA
AFRO:GHANA:NORTHERN:KPANDAI,-0.0312,8.4013,87842,1138.1
AFRO:GHANA:NORTHERN:KUMBUNGU,-1.0598,9.7910,42498,1548.1
AFRO:GHANA:NORTHERN:MION,-0.2537,9.3920,152124,2725.9
AFRO:GHANA:NORTHERN:NANTON,-0.6956,9.5567,54976,478.7
AFRO:GHANA:NORTHERN:NANUMBA_NORTH,-0.0854,8.9284,151488,2271.1
AFRO:GHANA:NORTHERN:NANUMBA_SOUTH,0.0537,8.7273,208385,1796.5
AFRO:GHANA:NORTHERN:SABOBA,0.1842,9.7469,77369,1758.7
AFRO:GHANA:NORTHERN:SAGNERIGU,-0.8643,9.4705,195621,201.3
AFRO:GHANA:NORTHERN:SAVELUGU,-0.8315,9.8620,146940,1553.0
AFRO:GHANA:NORTHERN:TAMALE_METROPOLITAN,-0.7410,9.3732,247560,650.3
AFRO:GHANA:NORTHERN:TATALE_SANGULI,0.4360,9.2145,70388,1094.4
AFRO:GHANA:NORTHERN:TOLON,-1.1890,9.5405,48896,1359.8
AFRO:GHANA:NORTHERN:YENDI_MUNICIPAL,0.0443,9.4540,134719,1452.7
AFRO:GHANA:NORTHERN:ZABZUGU,0.3191,9.1319,110184,1104.5
AFRO:GHANA:NORTHERN_EAST:BUNKPURUGU_NAKPANDURI,-0.0134,10.5262,121667,772.6
AFRO:GHANA:NORTHERN_EAST:CHEREPONI,0.2314,10.1698,61931,1380.7
AFRO:GHANA:NORTHERN_EAST:EAST_MAMPRUSI,-0.3702,10.4429,153331,1714.4
AFRO:GHANA:NORTHERN_EAST:MAMPRUGU_MOAGDURI,-1.3366,10.2496,64188,2131.1
AFRO:GHANA:NORTHERN_EAST:WEST_MAMPRUSI_MUNICIPAL,-0.8329,10.3294,169645,2622.7
AFRO:GHANA:NORTHERN_EAST:YUNYOO_NASUAN,-0.0816,10.4308,47595,489.9
AFRO:GHANA:OTI:BIAKOYE,0.3147,7.3605,94796,1110.7
AFRO:GHANA:OTI:JASIKAN,0.4996,7.3885,43328,558.2
AFRO:GHANA:OTI:KADJEBI,0.5224,7.7258,57138,692.7
