NAME,LONGITUDE,LATITUDE,POPULATION,AREA
AFRO:GHANA:ASHANTI:ASOKWA_MUNICIPAL:A0000,-1.5852,6.6461,395367,26.9
AFRO:GHANA:ASHANTI:ATWIMA_KWANWOMA:A0000,-1.6357,6.5752,63902,87.3
AFRO:GHANA:ASHANTI:ATWIMA_KWANWOMA:A0001,-1.7667,6.5789,50757,67.8
AFRO:GHANA:ASHANTI:ATWIMA_KWANWOMA:A0002,-1.6980,6.6188,15753,97.5
AFRO:GHANA:ASHANTI:ATWIMA_MPONUA:A0000,-2.2326,6.5920,5675,100.5
AFRO:GHANA:ASHANTI:ATWIMA_MPONUA:A0001,-1.9451,6.6961,3561,70.8
AFRO:GHANA:ASHANTI:ATWIMA_MPONUA:A0002,-2.3927,6.3927,10913,99.7
AFRO:GHANA:ASHANTI:ATWIMA_MPONUA:A0003,-2.1308,6.5883,9607,93.3
AFRO:GHANA:ASHANTI:ATWIMA_MPONUA:A0004,-2.1860,6.4126,12624,102.4
AFRO:GHANA:ASHANTI:ATWIMA_MPONUA:A0005,-1.9728,6.6108,3295,99.8
AFRO:GHANA:ASHANTI:ATWIMA_MPONUA:A0006,-2.1253,6.7423,3267,87.3
AFRO:GHANA:ASHANTI:ATWIMA_MPONUA:A0007,-2.0675,6.4497,7639,110.4
AFRO:GHANA:ASHANTI:ATWIMA_MPONUA:A0008,-2.3247,6.5424,5793,100.1
AFRO:GHANA:ASHANTI:ATWIMA_MPONUA:A0009,-2.0305,6.7340,3347,102.1
AFRO:GHANA:ASHANTI:ATWIMA_MPONUA:A0010,-2.0347,6.5427,11816,109.3
AFRO:GHANA:ASHANTI:ATWIMA_MPONUA:A0011,-2.1333,6.4999,13568,112.9
AFRO:GHANA:ASHANTI:ATWIMA_MPONUA:A0012,-2.3479,6.6378,9791,98.7
AFRO:GHANA:ASHANTI:ATWIMA_MPONUA:A0013,-2.3906,6.4678,5251,97.1
AFRO:GHANA:ASHANTI:ATWIMA_MPONUA:A0014,-2.1710,6.6741,6769,103.8
AFRO:GHANA:ASHANTI:ATWIMA_MPONUA:A0015,-2.2221,6.5094,10130,119.2
AFRO:GHANA:ASHANTI:ATWIMA_MPONUA:A0016,-2.2615,6.6688,4192,100.1
AFRO:GHANA:ASHANTI:ATWIMA_MPONUA:A0017,-2.0627,6.6499,12947,103.6
AFRO:GHANA:ASHANTI:ATWIMA_MPONUA:A0018,-1.8831,6.6410,6748,80.2
AFRO:GHANA:ASHANTI:ATWIMA_NWABIAGYA_NORTH:A0000,-1.7691,6.9173,5747,95.5
AFRO:GHANA:ASHANTI:ATWIMA_NWABIAGYA_NORTH:A0001,-1.7262,6.8292,28231,118.1
AFRO:GHANA:ASHANTI:ATWIMA_NWABIAGYA_SOUTH:A0000,-1.7382,6.7521,63357,86.4
AFRO:GHANA:ASHANTI:ATWIMA_NWABIAGYA_SOUTH:A0001,-1.8217,6.6329,11696,120.5
AFRO:GHANA:ASHANTI:ATWIMA_NWABIAGYA_SOUTH:A0002,-1.8429,6.7491,13575,65.5
AFRO:GHANA:ASHANTI:ATWIMA_NWABIAGYA_SOUTH:A0003,-1.7591,6.6852,58319,95.7
AFRO:GHANA:ASHANTI:BEKWAI_MUNICIPAL:A0000,-1.7085,6.4269,12597,115.3
AFRO:GHANA:ASHANTI:BEKWAI_MUNICIPAL:A0001,-1.5312,6.4786,42326,98.2
AFRO:GHANA:ASHANTI:BEKWAI_MUNICIPAL:A0002,-1.5794,6.4090,18447,108.6
AFRO:GHANA:ASHANTI:BEKWAI_MUNICIPAL:A0003,-1.6420,6.4914,43100,114.9
